CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
150000,Man,IC,9,10,2,Bachelor's
126000,Man,IC,32,13,22,Bachelor's
70000,Man,IC,12,15,5,Bachelor's
25000,Man,Manager,31,14,21,Master's
120000,Man,IC,8,18,3,Master's
70500,Man,IC,13,17,5,Master's
160000,Man,IC,23,12,12,Bachelor's
72600,Woman,IC,20,10,15,Bachelor's
97500,Man,IC,14,10,9,Bachelor's
103000,Man,IC,6,16,6,Bachelor's
58000,Man,IC,5,12,2,Bachelor's
110000,Man,IC,6,16,3,Master's
155000,Man,IC,22,20,19,Master's
121000,Man,IC,20,14,15,PhD
130000,Man,IC,9,17,8,Bachelor's
70000,Woman,IC,5,17,1,Bachelor's
49920,Man,IC,10,15,4,Bachelor's
58000,Man,IC,2,32,1,Less than bachelor's
71000,Man,IC,8,14,6,Bachelor's
1e+05,Man,IC,10,14,6,Less than bachelor's
75000,Man,IC,19,16,15,Bachelor's
58000,Man,IC,8,19,3,Bachelor's
105000,Man,IC,6,16,2,Bachelor's
134000,Man,IC,30,9,20,Bachelor's
136000,Man,IC,6,18,3,Bachelor's
70650,Man,IC,15,9,6,Bachelor's
81000,Woman,IC,8,11,3,Bachelor's
95000,Man,IC,3,25,1,Bachelor's
2e+05,Man,Manager,23,13,14,Bachelor's
150000,Man,IC,6,16,3,Less than bachelor's
81000,Man,IC,25,13,20,Bachelor's
220000,Man,IC,9,10,3,Bachelor's
90000,Man,IC,3,25,2,Less than bachelor's
1e+05,Man,IC,9,21,3,Bachelor's
41000,Man,IC,6,18,2,Bachelor's
95000,Man,Manager,21,14,16,Master's
85000,Woman,IC,20,19,16,Bachelor's
63000,Man,IC,2,27,1,Master's
95000,Woman,IC,7,14,4,Bachelor's
2e+05,Man,IC,3,18,3,Master's
180000,Man,Manager,22,10,21,Bachelor's
90000,Man,IC,10,15,8,Bachelor's
1e+05,Man,IC,5,9,4,Less than bachelor's
130000,Man,IC,4,11,4,PhD
125000,Man,IC,45,14,25,Less than bachelor's
1e+06,Man,IC,20,15,8,Less than bachelor's
82000,Man,IC,4,15,Less than 1 year,Bachelor's
150000,Man,Manager,40,12,27,Bachelor's
250000,Man,Manager,24,12,17,Bachelor's
118000,Man,IC,19,12,10,Bachelor's
100500,Man,IC,14,15,12,Less than bachelor's
185000,Man,IC,7,14,3,Bachelor's
146000,Man,IC,29,7,24,Less than bachelor's
83000,Man,IC,15,16,9,Bachelor's
1e+05,Man,IC,11,14,7,Bachelor's
84000,Man,IC,8,14,5,Bachelor's
75000,Man,IC,8,13,3,Bachelor's
80000,Man,IC,5,16,3,Bachelor's
70000,Woman,IC,7,17,3,Bachelor's
45000,Woman,IC,2,15,2,Bachelor's
111000,Man,IC,3,13,2,Bachelor's
115000,Woman,IC,5,23,3,Bachelor's
120000,Man,IC,20,10,20,Less than bachelor's
109000,Man,Manager,18,21,18,Bachelor's
50000,Woman,Manager,7,20,7,Master's
18500,Woman,IC,9,18,3,Bachelor's
180000,Woman,IC,8,25,7,Bachelor's
105000,Woman,IC,7,27,5,Bachelor's
180000,Man,IC,30,7,15,Master's
126000,Man,IC,14,14,7,Bachelor's
175000,Man,IC,25,11,20,Bachelor's
85000,Man,IC,13,24,8,Master's
225000,Man,Manager,25,17,22,Less than bachelor's
87000,Man,IC,4,12,4,Bachelor's
130000,Man,Manager,20,12,15,Bachelor's
54000,Man,IC,13,9,5,Less than bachelor's
280000,Man,IC,18,10,11,Bachelor's
124000,Man,IC,19,14,19,Master's
3e+05,Man,IC,23,12,12,Master's
57500,Man,IC,9,15,5,Bachelor's
150000,Man,IC,20,17,15,Bachelor's
115000,Man,IC,25,15,22,Bachelor's
33600,Man,IC,4,18,Less than 1 year,Less than bachelor's
90000,Man,IC,10,12,4,Bachelor's
79000,Woman,IC,8,15,2,Master's
150000,Man,IC,19,14,13,Bachelor's
173000,Man,Manager,36,12,30,Less than bachelor's
75000,Man,IC,6,12,1,Less than bachelor's
165000,Man,Manager,13,20,7,Master's
130000,Man,IC,23,21,19,Bachelor's
80000,Man,IC,8,16,6,Bachelor's
1e+05,Man,IC,20,8,Less than 1 year,Bachelor's
60000,Man,IC,5,18,Less than 1 year,Bachelor's
50000,Man,IC,4,18,1,Bachelor's
65000,Man,IC,7,18,4,Master's
2e+05,Man,IC,17,12,10,Master's
189000,Man,IC,8,9,5,Bachelor's
120000,Man,IC,15,14,5,Master's
88000,Man,IC,9,13,4,Bachelor's
135000,Man,IC,10,17,8,Bachelor's
115000,Man,IC,12,9,5,Master's
95000,Man,IC,23,13,23,Less than bachelor's
3e+05,Man,Manager,20,10,20,Less than bachelor's
135000,Man,IC,20,16,10,Master's
63000,Man,IC,5,14,3,Bachelor's
83000,Woman,IC,27,15,7,Master's
140000,Man,IC,7,13,4,Bachelor's
110000,Woman,IC,5,12,5,Bachelor's
96000,Man,IC,17,10,14,Less than bachelor's
90000,Man,IC,15,16,5,Master's
85000,Man,IC,7,18,6,Bachelor's
50000,Man,IC,6,16,5,Less than bachelor's
90000,Man,IC,8,16,7,Less than bachelor's
125000,Man,IC,12,12,8,Bachelor's
165000,Man,IC,10,8,10,Less than bachelor's
60000,Man,IC,5,13,Less than 1 year,Less than bachelor's
124000,Man,IC,24,18,16,Master's
140000,Man,Manager,20,10,20,Bachelor's
130000,Man,IC,40,16,30,Bachelor's
120000,Man,Manager,10,16,5,Bachelor's
2e+05,Man,IC,23,Younger than 5 years,20,Less than bachelor's
194000,Man,IC,10,14,6,Bachelor's
180000,Man,IC,25,11,20,Bachelor's
1e+05,Man,IC,8,15,6,Less than bachelor's
125000,Man,IC,18,15,12,Less than bachelor's
63500,Woman,IC,3,19,Less than 1 year,Bachelor's
180000,Man,IC,33,8,23,Bachelor's
111800,Man,IC,18,15,14,Bachelor's
1e+05,Woman,IC,6,12,4,Master's
143000,Man,IC,27,10,21,Less than bachelor's
105000,Man,IC,5,18,3,Bachelor's
165000,Man,IC,7,21,4,Bachelor's
140000,Man,IC,17,13,14,Less than bachelor's
130000,Man,IC,16,18,13,Bachelor's
140000,Man,IC,10,12,6,Less than bachelor's
135000,Man,Manager,22,Younger than 5 years,12,Bachelor's
4e+05,Man,Manager,24,9,12,Bachelor's
1e+05,Man,IC,18,16,12,Bachelor's
37000,Man,IC,6,17,2,Bachelor's
130000,Man,IC,43,13,33,Bachelor's
192500,Man,IC,20,16,18,Bachelor's
60000,Man,IC,13,12,4,Bachelor's
230000,Man,IC,30,6,19,Bachelor's
180000,Man,IC,24,16,21,Bachelor's
95000,Man,IC,8,10,5,Bachelor's
180000,Man,IC,7,19,1,Master's
90000,Man,Manager,18,12,8,Less than bachelor's
110000,Man,IC,18,14,8,Bachelor's
95000,Man,IC,4,20,Less than 1 year,Bachelor's
78000,Man,IC,40,16,30,Bachelor's
110000,Man,IC,16,15,12,Bachelor's
120000,Man,IC,16,13,1,Bachelor's
115000,Man,IC,11,15,9,Bachelor's
140000,Woman,Manager,2,13,5,Master's
112000,Woman,Manager,15,12,5,Master's
150000,Man,IC,20,14,11,Bachelor's
99000,Man,IC,11,15,4,Bachelor's
135000,Man,IC,35,22,33,Bachelor's
130000,Man,IC,17,10,6,Bachelor's
121000,Man,IC,22,15,20,Bachelor's
45000,Man,IC,3,8,Less than 1 year,Bachelor's
125000,Man,IC,5,20,3,Master's
110000,Man,IC,9,16,2,Bachelor's
92000,Man,IC,9,18,5,Bachelor's
75000,Man,IC,7,12,3,Less than bachelor's
155000,Man,Manager,15,12,10,Bachelor's
2e+05,Man,IC,6,19,4,Bachelor's
108000,Woman,Manager,5,18,Less than 1 year,Bachelor's
67017,Man,IC,4,20,1,Bachelor's
130000,Man,IC,37,10,25,Bachelor's
120000,Man,Manager,18,18,15,Bachelor's
88000,Man,IC,5,12,3,Bachelor's
88000,Woman,IC,40,5,30,PhD
100300,Man,IC,5,21,4,PhD
175000,Man,IC,38,19,38,Master's
148000,Man,Manager,11,18,7,Bachelor's
1e+05,Woman,IC,3,24,2,Less than bachelor's
120000,Man,IC,38,12,35,PhD
110000,Man,IC,9,13,4,Master's
108000,Man,IC,27,14,13,Bachelor's
110000,Man,IC,2,25,Less than 1 year,Less than bachelor's
130000,Man,Manager,12,10,9,Bachelor's
48000,Man,IC,3,29,4,PhD
35000,Man,IC,2,24,1,Bachelor's
70000,Man,IC,13,14,7,Bachelor's
89763,Man,IC,8,13,1,Bachelor's
110000,Man,IC,35,15,29,Bachelor's
105000,Man,IC,9,10,5,Master's
90000,Man,IC,10,14,5,Bachelor's
122247,Man,IC,12,16,12,Bachelor's
122000,Man,IC,21,40,21,Less than bachelor's
150000,Man,IC,15,13,10,Bachelor's
175000,Man,Manager,20,14,12,Less than bachelor's
118000,Man,Manager,18,14,16,Bachelor's
106000,Man,IC,31,9,10,Bachelor's
55000,Man,IC,2,31,1,Master's
188000,Man,IC,12,10,2,Bachelor's
225000,Man,IC,10,16,4,Bachelor's
150000,Man,IC,44,15,44,Bachelor's
50000,Man,IC,5,20,3,Bachelor's
95700,Woman,IC,1,37,Less than 1 year,Master's
80000,Man,IC,17,12,10,Bachelor's
102000,Man,IC,18,13,7,Bachelor's
135000,Man,IC,7,16,2,Bachelor's
95000,Man,IC,4,16,4,Professional
60000,Woman,IC,9,31,9,PhD
80000,Man,IC,5,12,3,Master's
128000,Woman,IC,7,20,7,Less than bachelor's
110000,Man,Manager,14,15,8,Bachelor's
90000,Woman,IC,7,19,5,Bachelor's
180000,Man,IC,15,19,10,Bachelor's
70000,Man,IC,12,15,7,Master's
48000,Man,IC,6,20,4,Bachelor's
165000,Man,IC,10,12,5,Bachelor's
110000,Man,Manager,19,15,8,Bachelor's
125000,Man,IC,18,14,13,Bachelor's
117000,Man,IC,11,27,7,Master's
135000,Man,IC,40,18,36,Master's
110000,Man,IC,24,17,20,Less than bachelor's
173400,Man,Manager,15,15,10,Bachelor's
85000,Man,IC,6,24,6,Bachelor's
92000,Man,IC,7,16,4,Less than bachelor's
80000,Man,IC,6,17,Less than 1 year,Master's
104000,Man,IC,6,20,5,Master's
1e+05,Man,IC,16,19,10,Bachelor's
85000,Man,IC,3,26,3,Bachelor's
184000,Man,IC,30,10,21,Less than bachelor's
126126,Woman,IC,6,11,5,Less than bachelor's
126000,Man,IC,18,10,7,Less than bachelor's
161000,Man,Manager,33,10,15,Bachelor's
360000,Man,Manager,11,16,11,Master's
150000,Man,IC,24,8,20,Bachelor's
68000,Man,IC,6,16,2,Bachelor's
108000,Man,IC,6,18,4,Bachelor's
95000,Man,IC,10,18,5,Bachelor's
120000,Man,IC,6,18,5,Bachelor's
151000,Man,IC,19,9,10,Bachelor's
48000,Man,IC,8,14,3,Bachelor's
