CompTotal	Education
154000.0	Bachelor's
71500.0	Bachelor's
84208.0	Bachelor's
80000.0	Less than bachelor's
100000.0	Less than bachelor's
165000.0	Bachelor's
67000.0	Bachelor's
80000.0	Bachelor's
110000.0	Master's
150000.0	Bachelor's
130000.0	Bachelor's
155000.0	Bachelor's
212500.0	Master's
100000.0	Bachelor's
115000.0	Bachelor's
81000.0	Bachelor's
40000.0	Less than bachelor's
140000.0	Master's
200000.0	Master's
160000.0	Less than bachelor's
180000.0	Bachelor's
116580.0	Less than bachelor's
144000.0	Bachelor's
351850.0	Bachelor's
117000.0	Master's
100000.0	Bachelor's
110000.0	Bachelor's
65000.0	Bachelor's
115000.0	Bachelor's
110000.0	Bachelor's
105000.0	Master's
150000.0	Less than bachelor's
148000.0	Bachelor's
52200.0	Less than bachelor's
115000.0	Master's
132000.0	Bachelor's
180000.0	Less than bachelor's
114000.0	Less than bachelor's
70000.0	Bachelor's
270000.0	Bachelor's
70000.0	Master's
70000.0	Less than bachelor's
42000.0	Bachelor's
240000.0	Master's
84000.0	Bachelor's
109000.0	Bachelor's
70000.0	Bachelor's
90000.0	Bachelor's
136000.0	Bachelor's
200000.0	Bachelor's
100000.0	Master's
130000.0	Bachelor's
66000.0	Bachelor's
125000.0	Master's
80000.0	Bachelor's
222000.0	Bachelor's
140000.0	Bachelor's
95000.0	Bachelor's
200000.0	Master's
190000.0	Master's
220000.0	Master's
220000.0	Bachelor's
158000.0	Bachelor's
70000.0	Bachelor's
78000.0	Bachelor's
160000.0	Less than bachelor's
56000.0	Bachelor's
99000.0	Less than bachelor's
60000.0	Bachelor's
114000.0	Bachelor's
140000.0	Bachelor's
67000.0	Less than bachelor's
140000.0	Bachelor's
168000.0	Bachelor's
75000.0	Less than bachelor's
35000.0	Master's
68000.0	Bachelor's
60000.0	Less than bachelor's
66175.0	Bachelor's
80000.0	Master's
145000.0	Bachelor's
40000.0	Bachelor's
85000.0	Bachelor's
160000.0	Bachelor's
85000.0	Bachelor's
156000.0	Less than bachelor's
52000.0	Bachelor's
180000.0	Bachelor's
185000.0	Master's
90000.0	Less than bachelor's
185000.0	Less than bachelor's
120000.0	Master's
130000.0	Bachelor's
57000.0	Master's
60000.0	Bachelor's
104000.0	Master's
186000.0	Master's
64000.0	Bachelor's
50000.0	Bachelor's
65000.0	PhD
50000.0	Bachelor's
85000.0	Master's
60000.0	Bachelor's
99000.0	Bachelor's
100000.0	Less than bachelor's
120000.0	Bachelor's
99000.0	Master's
108000.0	Less than bachelor's
47000.0	Bachelor's
80000.0	Bachelor's
70000.0	Less than bachelor's
132000.0	Bachelor's
140000.0	Less than bachelor's
107000.0	Bachelor's
39312.0	Less than bachelor's
107000.0	Bachelor's
104030.0	Master's
105000.0	Less than bachelor's
68500.0	Bachelor's
120000.0	Master's
114000.0	Bachelor's
64500.0	Bachelor's
70000.0	Less than bachelor's
101000.0	Bachelor's
165000.0	Bachelor's
108000.0	Master's
107000.0	Bachelor's
140000.0	Bachelor's
50000.0	Bachelor's
51000.0	Bachelor's
136000.0	Bachelor's
105000.0	PhD
150000.0	PhD
70500.0	Master's
120000.0	Bachelor's
150000.0	Master's
90000.0	Bachelor's
80000.0	Master's
74000.0	Bachelor's
105000.0	PhD
450000.0	Less than bachelor's
85000.0	Bachelor's
86000.0	Bachelor's
100000.0	Bachelor's
105000.0	Less than bachelor's
100000.0	Bachelor's
280000.0	Less than bachelor's
82000.0	Master's
140000.0	Bachelor's
90000.0	Bachelor's
67000.0	Less than bachelor's
115000.0	Bachelor's
130000.0	Bachelor's
80000.0	Master's
85000.0	Bachelor's
200000.0	Master's
121000.0	Bachelor's
79000.0	Bachelor's
100000.0	Bachelor's
84000.0	Master's
164000.0	Bachelor's
93000.0	Bachelor's
203000.0	PhD
150000.0	Less than bachelor's
104000.0	Master's
62500.0	Master's
270000.0	Bachelor's
75000.0	Bachelor's
100000.0	Master's
135000.0	Bachelor's
80000.0	Master's
175000.0	Master's
100000.0	Bachelor's
199000.0	Bachelor's
225000.0	Bachelor's
102000.0	Less than bachelor's
50000.0	Bachelor's
80000.0	Bachelor's
51500.0	Master's
142000.0	PhD
115000.0	Bachelor's
132000.0	Bachelor's
95000.0	Bachelor's
50000.0	Bachelor's
160000.0	PhD
115000.0	Master's
183000.0	Less than bachelor's
100000.0	Bachelor's
93000.0	Master's
78000.0	Bachelor's
84000.0	Bachelor's
150000.0	Bachelor's
63850.0	Less than bachelor's
83000.0	Bachelor's
320000.0	Professional
144000.0	Bachelor's
160000.0	Less than bachelor's
70000.0	Less than bachelor's
98000.0	Bachelor's
90000.0	Bachelor's
134000.0	Less than bachelor's
150000.0	Master's
120000.0	Bachelor's
115000.0	Bachelor's
154500.0	Less than bachelor's
65000.0	Bachelor's
77000.0	Bachelor's
160000.0	Master's
110000.0	Less than bachelor's
100000.0	Bachelor's
238500.0	Master's
119000.0	Bachelor's
220000.0	Bachelor's
101000.0	Bachelor's
168000.0	Bachelor's
90000.0	Bachelor's
120000.0	Bachelor's
47000.0	Bachelor's
70000.0	Bachelor's
174000.0	Less than bachelor's
103000.0	PhD
85000.0	Bachelor's
175000.0	Bachelor's
65000.0	Less than bachelor's
93000.0	Bachelor's
85000.0	Bachelor's
205000.0	Bachelor's
98000.0	Less than bachelor's
136000.0	Master's
67000.0	Master's
83000.0	Bachelor's
170000.0	Bachelor's
400000.0	PhD
75000.0	Less than bachelor's
65000.0	Bachelor's
55000.0	Less than bachelor's
160000.0	Professional
100000.0	Bachelor's
110000.0	Bachelor's
108000.0	Less than bachelor's
180000.0	Master's
70000.0	Bachelor's
115000.0	Bachelor's
111550.0	Bachelor's
90000.0	Bachelor's
130000.0	Bachelor's
120000.0	PhD
300000.0	Bachelor's
47500.0	Bachelor's
250000.0	Master's
77500.0	Bachelor's
104000.0	Bachelor's
198550.0	Bachelor's
50000.0	Bachelor's
89000.0	Less than bachelor's
125000.0	Bachelor's
160000.0	Bachelor's
97000.0	Bachelor's
75000.0	Less than bachelor's
65500.0	Bachelor's
84500.0	Less than bachelor's
159000.0	Bachelor's
90000.0	Master's
70000.0	Bachelor's
70000.0	Bachelor's
92000.0	Bachelor's
109000.0	Less than bachelor's
65000.0	Less than bachelor's
124000.0	Master's
132000.0	Bachelor's
70000.0	Bachelor's
96000.0	Less than bachelor's
165000.0	Bachelor's
105000.0	Less than bachelor's
100000.0	Bachelor's
96000.0	Master's
180250.0	Bachelor's
107000.0	Bachelor's
250000.0	Bachelor's
150000.0	Less than bachelor's
150000.0	Master's
160000.0	Bachelor's
198000.0	Bachelor's
118000.0	Bachelor's
77250.0	Bachelor's
95000.0	Master's
103000.0	PhD
154500.0	Master's
90228.0	Master's
70000.0	Bachelor's
83000.0	Bachelor's
104000.0	Bachelor's
70000.0	Master's
62500.0	Bachelor's
150000.0	Bachelor's
128000.0	Bachelor's
73000.0	Bachelor's
105200.0	Bachelor's
91500.0	Less than bachelor's
105000.0	Bachelor's
85000.0	Bachelor's
132000.0	Bachelor's
190000.0	Less than bachelor's
164000.0	Less than bachelor's
90000.0	Less than bachelor's
135000.0	Bachelor's
150000.0	Bachelor's
95000.0	Less than bachelor's
140000.0	Less than bachelor's
240000.0	Bachelor's
54889.0	Master's
132000.0	Less than bachelor's
115000.0	Bachelor's
128000.0	Master's
45000.0	Less than bachelor's
100000.0	Bachelor's
125000.0	Bachelor's
130000.0	Less than bachelor's
140000.0	Bachelor's
170000.0	Bachelor's
203000.0	Less than bachelor's
85000.0	Bachelor's
60000.0	Bachelor's
80000.0	Master's
250000.0	Master's
115000.0	Bachelor's
180000.0	Master's
135000.0	Master's
115000.0	Bachelor's
132000.0	Bachelor's
125000.0	Bachelor's
38000.0	Less than bachelor's
160000.0	Bachelor's
143000.0	Bachelor's
58400.0	Bachelor's
65000.0	Master's
50000.0	Bachelor's
73000.0	Bachelor's
63500.0	Bachelor's
73000.0	Bachelor's
120000.0	Bachelor's
125000.0	Bachelor's
102000.0	Bachelor's
158000.0	Master's
69000.0	Bachelor's
175000.0	Bachelor's
162000.0	Bachelor's
120000.0	Bachelor's
70000.0	Bachelor's
103000.0	Bachelor's
65000.0	Master's
85000.0	Bachelor's
200000.0	Bachelor's
98000.0	Master's
362000.0	Bachelor's
130000.0	Bachelor's
60000.0	Bachelor's
80000.0	Bachelor's
200000.0	Bachelor's
180000.0	Less than bachelor's
89000.0	Bachelor's
145000.0	Bachelor's
81500.0	Bachelor's
105000.0	Bachelor's
