company	date	price
NFLX	2020-02-26	379.23999
NFLX	2020-02-27	371.709991
NFLX	2020-02-28	369.029999
NFLX	2020-03-02	381.049988
NFLX	2020-03-03	368.769989
NFLX	2020-03-04	383.790009
NFLX	2020-03-05	372.779999
NFLX	2020-03-06	368.970001
NFLX	2020-03-09	346.48999
NFLX	2020-03-10	364.130005
NFLX	2020-03-11	349.920013
NFLX	2020-03-12	315.25
NFLX	2020-03-13	336.299988
NFLX	2020-03-16	298.839996
NFLX	2020-03-17	319.75
NFLX	2020-03-18	315.470001
NFLX	2020-03-19	332.029999
NFLX	2020-03-20	332.829987
NFLX	2020-03-23	360.269989
NFLX	2020-03-24	357.320007
NFLX	2020-03-25	342.390015
NFLX	2020-03-26	362.98999
NFLX	2020-03-27	357.119995
NFLX	2020-03-30	370.959991
NFLX	2020-03-31	375.5
NFLX	2020-04-01	364.079987
NFLX	2020-04-02	370.079987
NFLX	2020-04-03	361.76001
NFLX	2020-04-06	379.959991
NFLX	2020-04-07	372.279999
NFLX	2020-04-08	371.119995
NFLX	2020-04-09	370.720001
NFLX	2020-04-13	396.720001
NFLX	2020-04-14	413.549988
NFLX	2020-04-15	426.75
NFLX	2020-04-16	439.170013
NFLX	2020-04-17	422.959991
NFLX	2020-04-20	437.48999
NFLX	2020-04-21	433.829987
NFLX	2020-04-22	421.420013
NFLX	2020-04-23	426.700012
NFLX	2020-04-24	424.98999
NFLX	2020-04-27	421.380005
NFLX	2020-04-28	403.829987
NFLX	2020-04-29	411.890015
NFLX	2020-04-30	419.850006
NFLX	2020-05-01	415.269989
NFLX	2020-05-04	428.149994
NFLX	2020-05-05	424.679993
NFLX	2020-05-06	434.26001
NFLX	2020-05-07	436.529999
NFLX	2020-05-08	435.549988
NFLX	2020-05-11	440.519989
NFLX	2020-05-12	431.820007
NFLX	2020-05-13	438.269989
NFLX	2020-05-14	441.950012
NFLX	2020-05-15	454.190002
NFLX	2020-05-18	452.579987
NFLX	2020-05-19	451.040009
NFLX	2020-05-20	447.670013
NFLX	2020-05-21	436.25
NFLX	2020-05-22	429.320007
NFLX	2020-05-26	414.769989
NFLX	2020-05-27	419.890015
NFLX	2020-05-28	413.440002
NFLX	2020-05-29	419.730011
NFLX	2020-06-01	425.920013
NFLX	2020-06-02	427.309998
NFLX	2020-06-03	421.970001
NFLX	2020-06-04	414.329987
NFLX	2020-06-05	419.600006
NFLX	2020-06-08	419.48999
NFLX	2020-06-09	434.049988
NFLX	2020-06-10	434.480011
NFLX	2020-06-11	425.559998
NFLX	2020-06-12	418.070007
NFLX	2020-06-15	425.5
NFLX	2020-06-16	436.130005
NFLX	2020-06-17	447.769989
NFLX	2020-06-18	449.869995
NFLX	2020-06-19	453.720001
NFLX	2020-06-22	468.040009
NFLX	2020-06-23	466.26001
NFLX	2020-06-24	457.850006
NFLX	2020-06-25	465.910004
NFLX	2020-06-26	443.399994
NFLX	2020-06-29	447.23999
NFLX	2020-06-30	455.040009
NFLX	2020-07-01	485.640015
NFLX	2020-07-02	476.890015
NFLX	2020-07-06	493.809998
NFLX	2020-07-07	493.160004
NFLX	2020-07-08	502.779999
NFLX	2020-07-09	507.76001
NFLX	2020-07-10	548.72998
NFLX	2020-07-13	525.5
NFLX	2020-07-14	524.880005
NFLX	2020-07-15	523.26001
NFLX	2020-07-16	527.390015
NFLX	2020-07-17	492.98999
NFLX	2020-07-20	502.410004
NFLX	2020-07-21	490.100006
NFLX	2020-07-22	489.820007
NFLX	2020-07-23	477.579987
NFLX	2020-07-24	480.450012
NFLX	2020-07-27	495.649994
NFLX	2020-07-28	488.51001
NFLX	2020-07-29	484.480011
NFLX	2020-07-30	485.799988
NFLX	2020-07-31	488.880005
NFLX	2020-08-03	498.619995
NFLX	2020-08-04	509.640015
NFLX	2020-08-05	502.109985
NFLX	2020-08-06	509.079987
NFLX	2020-08-07	494.730011
NFLX	2020-08-10	483.380005
NFLX	2020-08-11	466.929993
NFLX	2020-08-12	475.470001
NFLX	2020-08-13	481.329987
NFLX	2020-08-14	482.679993
NFLX	2020-08-17	482.350006
NFLX	2020-08-18	491.869995
NFLX	2020-08-19	484.529999
NFLX	2020-08-20	497.899994
NFLX	2020-08-21	492.309998
NFLX	2020-08-24	488.809998
NFLX	2020-08-25	490.579987
NFLX	2020-08-26	547.530029
NFLX	2020-08-27	526.27002
NFLX	2020-08-28	523.890015
NFLX	2020-08-31	529.559998
NFLX	2020-09-01	556.549988
NFLX	2020-09-02	552.840027
NFLX	2020-09-03	525.75
NFLX	2020-09-04	516.049988
NFLX	2020-09-08	507.019989
NFLX	2020-09-09	500.190002
NFLX	2020-09-10	480.670013
NFLX	2020-09-11	482.029999
NFLX	2020-09-14	476.26001
NFLX	2020-09-15	495.98999
NFLX	2020-09-16	483.859985
NFLX	2020-09-17	470.200012
NFLX	2020-09-18	469.959991
NFLX	2020-09-21	487.350006
NFLX	2020-09-22	491.170013
NFLX	2020-09-23	470.609985
NFLX	2020-09-24	473.079987
NFLX	2020-09-25	482.880005
NFLX	2020-09-28	490.649994
NFLX	2020-09-29	493.480011
NFLX	2020-09-30	500.029999
NFLX	2020-10-01	527.51001
NFLX	2020-10-02	503.059998
NFLX	2020-10-05	520.650024
NFLX	2020-10-06	505.869995
NFLX	2020-10-07	534.659973
NFLX	2020-10-08	531.789978
NFLX	2020-10-09	539.440002
NFLX	2020-10-12	539.809998
NFLX	2020-10-13	554.090027
NFLX	2020-10-14	541.450012
NFLX	2020-10-15	541.940002
NFLX	2020-10-16	530.789978
NFLX	2020-10-19	530.719971
NFLX	2020-10-20	525.419983
NFLX	2020-10-21	489.049988
NFLX	2020-10-22	485.230011
NFLX	2020-10-23	488.279999
NFLX	2020-10-26	488.23999
NFLX	2020-10-27	488.929993
NFLX	2020-10-28	486.23999
NFLX	2020-10-29	504.209991
NFLX	2020-10-30	475.73999
NFLX	2020-11-02	484.119995
NFLX	2020-11-03	487.220001
NFLX	2020-11-04	496.950012
NFLX	2020-11-05	513.76001
NFLX	2020-11-06	514.72998
NFLX	2020-11-09	470.5
NFLX	2020-11-10	480.23999
NFLX	2020-11-11	490.76001
NFLX	2020-11-12	486.769989
NFLX	2020-11-13	482.839996
NFLX	2020-11-16	479.100006
NFLX	2020-11-17	480.630005
NFLX	2020-11-18	481.790009
NFLX	2020-11-19	484.670013
NFLX	2020-11-20	488.23999
NFLX	2020-11-23	476.619995
NFLX	2020-11-24	482.880005
NFLX	2020-11-25	485
NFLX	2020-11-27	491.359985
NFLX	2020-11-30	490.700012
NFLX	2020-12-01	504.579987
NFLX	2020-12-02	503.380005
NFLX	2020-12-03	497.519989
NFLX	2020-12-04	498.309998
NFLX	2020-12-07	515.780029
NFLX	2020-12-08	512.659973
NFLX	2020-12-09	493.600006
NFLX	2020-12-10	501.089996
NFLX	2020-12-11	503.220001
NFLX	2020-12-14	522.419983
NFLX	2020-12-15	519.780029
NFLX	2020-12-16	524.830017
NFLX	2020-12-17	532.900024
NFLX	2020-12-18	534.450012
NFLX	2020-12-21	528.909973
NFLX	2020-12-22	527.330017
NFLX	2020-12-23	514.47998
NFLX	2020-12-24	513.969971
NFLX	2020-12-28	519.119995
NFLX	2020-12-29	530.869995
NFLX	2020-12-30	524.590027
NFLX	2020-12-31	540.72998
NFLX	2021-01-04	522.859985
NFLX	2021-01-05	520.799988
NFLX	2021-01-06	500.48999
NFLX	2021-01-07	508.890015
NFLX	2021-01-08	510.399994
NFLX	2021-01-11	499.100006
NFLX	2021-01-12	494.25
NFLX	2021-01-13	507.790009
NFLX	2021-01-14	500.859985
NFLX	2021-01-15	497.980011
NFLX	2021-01-19	501.769989
NFLX	2021-01-20	586.340027
NFLX	2021-01-21	579.840027
NFLX	2021-01-22	565.169983
NFLX	2021-01-25	556.780029
NFLX	2021-01-26	561.929993
NFLX	2021-01-27	523.280029
NFLX	2021-01-28	538.599976
NFLX	2021-01-29	532.390015
NFLX	2021-02-01	539.039978
NFLX	2021-02-02	548.159973
NFLX	2021-02-03	539.450012
NFLX	2021-02-04	552.159973
NFLX	2021-02-05	550.789978
NFLX	2021-02-08	547.919983
NFLX	2021-02-09	559.070007
NFLX	2021-02-10	563.590027
NFLX	2021-02-11	557.590027
NFLX	2021-02-12	556.52002
NFLX	2021-02-16	557.280029
NFLX	2021-02-17	551.340027
NFLX	2021-02-18	548.219971
NFLX	2021-02-19	540.219971
NFLX	2021-02-22	533.780029
NFLX	2021-02-23	546.150024
NFLX	2021-02-24	553.409973
NFLX	2021-02-25	546.700012
NFLX	2021-02-26	538.849976
NFLX	2021-03-01	550.640015
NFLX	2021-03-02	547.820007
NFLX	2021-03-03	520.700012
NFLX	2021-03-04	511.290009
NFLX	2021-03-05	516.390015
NFLX	2021-03-08	493.329987
NFLX	2021-03-09	506.440002
NFLX	2021-03-10	504.540009
NFLX	2021-03-11	523.059998
NFLX	2021-03-12	518.02002
NFLX	2021-03-15	520.25
NFLX	2021-03-16	524.030029
NFLX	2021-03-17	524.440002
NFLX	2021-03-18	504.790009
NFLX	2021-03-19	512.179993
NFLX	2021-03-22	523.109985
NFLX	2021-03-23	535.090027
NFLX	2021-03-24	520.809998
NFLX	2021-03-25	502.859985
NFLX	2021-03-26	508.049988
NFLX	2021-03-29	513.950012
NFLX	2021-03-30	513.390015
NFLX	2021-03-31	521.659973
NFLX	2021-04-01	539.419983
NFLX	2021-04-05	540.669983
NFLX	2021-04-06	544.530029
NFLX	2021-04-07	546.98999
NFLX	2021-04-08	554.580017
NFLX	2021-04-09	555.309998
NFLX	2021-04-12	552.780029
NFLX	2021-04-13	553.72998
NFLX	2021-04-14	540.02002
GOOGL	2020-01-02	1368.680054
GOOGL	2020-01-03	1361.52002
GOOGL	2020-01-06	1397.810059
GOOGL	2020-01-07	1395.109985
GOOGL	2020-01-08	1405.040039
GOOGL	2020-01-09	1419.790039
GOOGL	2020-01-10	1428.959961
GOOGL	2020-01-13	1440.030029
GOOGL	2020-01-14	1430.589966
GOOGL	2020-01-15	1439.199951
GOOGL	2020-01-16	1450.160034
GOOGL	2020-01-17	1479.52002
GOOGL	2020-01-21	1482.25
GOOGL	2020-01-22	1483.869995
GOOGL	2020-01-23	1484.689941
GOOGL	2020-01-24	1466.170044
GOOGL	2020-01-27	1431.72998
GOOGL	2020-01-28	1450.5
GOOGL	2020-01-29	1456.699951
GOOGL	2020-01-30	1454.25
GOOGL	2020-01-31	1432.780029
GOOGL	2020-02-03	1482.599976
GOOGL	2020-02-04	1445.410034
GOOGL	2020-02-05	1446.050049
GOOGL	2020-02-06	1475.969971
GOOGL	2020-02-07	1479.109985
GOOGL	2020-02-10	1508.660034
GOOGL	2020-02-11	1510.060059
GOOGL	2020-02-12	1518.630005
GOOGL	2020-02-13	1513.390015
GOOGL	2020-02-14	1518.72998
GOOGL	2020-02-18	1519.439941
GOOGL	2020-02-19	1524.869995
GOOGL	2020-02-20	1516.98999
GOOGL	2020-02-21	1483.459961
GOOGL	2020-02-24	1419.859985
GOOGL	2020-02-25	1386.319946
GOOGL	2020-02-26	1390.469971
GOOGL	2020-02-27	1314.949951
GOOGL	2020-02-28	1339.25
GOOGL	2020-03-02	1386.319946
GOOGL	2020-03-03	1337.719971
GOOGL	2020-03-04	1381.599976
GOOGL	2020-03-05	1314.76001
GOOGL	2020-03-06	1295.73999
GOOGL	2020-03-09	1215.790039
GOOGL	2020-03-10	1275.170044
GOOGL	2020-03-11	1210.900024
